business_name,category,rating,review_count,phone,website,email,address,city,state,zip_code,facebook,instagram,linkedin
American Travel & Tours,,4.2,,19167379287,http://www.americantravels.us/,,"4400 47th Ave #104, Sacramento, CA 95824, United States",Sacramento,CA,95824,,,
Bluewater Travel,,5,,13109156677,http://www.bluewaterdivetravel.com/,info@bluewaterdivetravel.com,"3961 Sepulveda Blvd Ste 206, Culver City, CA 90230, United States",Culver City,CA,90230,https://www.facebook.com/BluewaterDiveTravel/,https://www.instagram.com/bluewaterdivetravel/,
TravelStore Palos Verdes,,4.7,.543214.713,13103730954,https://www.travelstore.com/vacation/locations-leisure/palos-verdes-south-bay/,info@travelstore.com,"24 Malaga Cove Plaza, Palos Verdes Estates, CA 90274, United States",Palos Verdes Estates,CA,90274,https://www.facebook.com/travelstoreinc,https://www.instagram.com/travelstore/,https://www.linkedin.com/company/travelstore
Bay Area Travels,,4.9,,14088001946,,,"Dublin, CA 94568, United States",CA 94568,CA,94568,,,
Cali Travel,,4.1,,16262808836,http://calitravel.com/,info@calitravel.com,"853 E Valley Blvd #104, San Gabriel, CA 91776, United States",San Gabriel,CA,91776,http://www.facebook.com/calitravelus,https://www.instagram.com/calitravelus?igsh=NmtndGo5aDF6cnM2,
My Economic Travel and Tours,,4.5,.543214.580,16264424400,https://www.myeconomictravel.com/trip/europa-sonada-temporada-triple-habitacion-doble-incluye-audiencia-papal/,,"10918 Main St Suite B, El Monte, CA 91731, United States",El Monte,CA,91731,,,
"Rewards Travel, Inc.",,4.8,,12134894182,http://www.rewards.travel/,info@rewards.travel,"13710 Studebaker Rd Ste106, Norwalk, CA 90650, United States",Norwalk,CA,90650,https://www.facebook.com/wix,https://www.instagram.com/wix,https://il.linkedin.com/company/wix-com?trk=public_jobs_topcard_logo
Plaza Travel,,4.5,,18189904053,http://www.plazatravel.com/,info@plazatravel.com,"21021 Ventura Blvd Suite 300, Woodland Hills, CA 91364, United States",Woodland Hills,CA,91364,https://www.facebook.com/froschtravel/,https://instagram.com/froschtravel/,https://www.linkedin.com/company/416531?trk=NUS_CMPY_TWIT
Singh Tour & Travels,,5,.543215.0228,Send to phone,https://singhtoursandtravels.com/,singhtravel17@gmail.com,"5633 N Figarden Dr #106, Fresno, CA 93722, United States",Fresno,CA,93722,https://www.facebook.com/Singh5633/about/?id=100063927736752&sk=about#,,
"Nonstop Travel, Inc",,4.7,.543214.77,13103245500,http://www.nonstoptravel.net/,,"1321 Post Ave, Torrance, CA 90501, United States",Torrance,CA,90501,,,
CN Travel Agency,,4.7,,18887825868,http://www.cntravel.com/,marketing@cntravel.com,"17726 Pioneer Blvd, Artesia, CA 90701, United States",Artesia,CA,90701,https://www.facebook.com/CntravelIndia,https://www.instagram.com/cntraveltheworld/,https://www.linkedin.com/in/cntraveltheworld/
Victory Travel Agency,,4.4,,13232774595,,,"2611 Zoe Ave, Huntington Park, CA 90255, United States",Huntington Park,CA,90255,,,
EUROPEAN TRAVEL,,4.5,,Send to phone,http://www.myeuropeantravel.com/,,"1810 W Burbank Blvd #200, Burbank, CA 91506, United States",Burbank,CA,91506,,,
SVH Tours & Travel Services,,4.1,,18185431821,http://www.svhtravel.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"1731 W Glenoaks Blvd Unit 202, Glendale, CA 91201, United States",Glendale,CA,91201,https://www.facebook.com/svhtravel/,https://www.instagram.com/svh_travel/,
California Tours,,4.7,.543214.79,14153934211,http://www.california-tour.com/,tour@california-tour.com,"2560 Ninth St #319b, Berkeley, CA 94710, United States",Berkeley,CA,94710,,,
Kahala Travel®,,4.6,,16192828300,http://www.kahalatravel.com/,info@kahalatravel.com,"3838 Camino Del Rio N UNIT 300, San Diego, CA 92108, United States",San Diego,CA,92108,https://www.facebook.com/KahalaTravel?fref=ts,https://instagram.com/kahalatravel/,
TravelCom Travel Agency,,4.7,,17148414540,https://travelcom.biz/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness,,"18314 Beach Blvd, Huntington Beach, CA 92648, United States",Huntington Beach,CA,92648,,,
TravelStore Pasadena,,3.7,.543213.79,16267950291,https://www.travelstore.com/vacation/locations-leisure/pasadena/,info@travelstore.com,"140 S Lake Ave Ste 280, Pasadena, CA 91101, United States",Pasadena,CA,91101,https://www.facebook.com/travelstoreinc,https://www.instagram.com/travelstore/,https://www.linkedin.com/company/travelstore
Fiesta Americana Travel,,4.9,,13105184730,http://www.fiestaamericanatravel.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"1103 N Avalon Blvd, Wilmington, CA 90744, United States",Wilmington,CA,90744,,,
A Good Travel Agency 全球旅遊中心,,4.5,,16265383888,http://www.agoodtravel.com/,johndoe@domain.com,"18411 Colima Rd, Rowland Heights, CA 91748, United States",Rowland Heights,CA,91748,https://www.facebook.com/agoodtravel/?ref=br_rs,,
Central Travel & Tour Services,,3.9,,12136276157,https://tantulika12.wixsite.com/travel/20,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"219 4th St, Los Angeles, CA 90013, United States",Los Angeles,CA,90013,,,
Caribe Travel & Tours,,4.7,,17142854220,,,"2021 N Main St, Santa Ana, CA 92706, United States",Santa Ana,CA,92706,,,
Sky Travel Agency & Tours,,4.1,.543214.128,18188100320,http://www.skytravellax.com/,,"15650 Nordhoff St UNIT 104, North Hills, CA 91343, United States",North Hills,CA,91343,https://www.facebook.com/SkyTravelLAX,https://www.instagram.com/aracelysky/?hl=en,
Travel of America,,5,,18002288843,https://travelofamerica.com/,,"1290 Center Ct Dr, Covina, CA 91724, United States",Covina,CA,91724,https://www.facebook.com/TravelofAmerica,https://www.instagram.com/travelofamerica.toa,
Joy Tours & Travel Services,,4.8,,18184845888,http://www.joytravelus.com/,,"1201 N Pacific Ave #102, Glendale, CA 91202, United States",Glendale,CA,91202,,,
Travel Adventures Unlimited,,5,,19253154884,https://traveladventuresunlimited.com/?utm_source=google&utm_medium=GBP,info@traveltau.com,"1515 Oakland Blvd #100, Walnut Creek, CA 94596, United States",Walnut Creek,CA,94596,https://www.facebook.com/travelTAU,,
M S Travel & Tours,,4.7,,18183330077,http://www.mstraveltours.com/,contact@sansoxygen.com,"1911 Magnolia Blvd, Burbank, CA 91506, United States",Burbank,CA,91506,https://www.facebook.com/MS-Travel-Tours-235470882033/,https://www.instagram.com/mstraveltours/,
Going Places Travel,,4.4,,15108489000,https://www.gptravel.com/,info@goingplacestravel.net,"1677 Shattuck Ave., Berkeley, CA 94709, United States",Berkeley,CA,94709,https://www.facebook.com/GoingPlacesBerkeley,https://www.instagram.com/gptravel.us/,
Bianca's Travel & Service,,4.5,,13239809066,http://www.biancastravel.com/,info@biancastravel.com,"2421 Whittier Blvd #102a, Los Angeles, CA 90023, United States",Los Angeles,CA,90023,https://www.facebook.com/biancastravelLA,,
Roseville Travel,,4.3,,19167826363,https://rosevilletravel.com/,,"1209 Pleasant Grove Blvd, Roseville, CA 95678, United States",Roseville,CA,95678,https://www.facebook.com/RosevilleTravel/,https://www.instagram.com/rosevilletravel/,
Elk Grove Travel,,4.3,,19166855337,https://www.elkgrovetravel.net/,info@elkgrovetravel.net,"9617 E Stockton Blvd, Elk Grove, CA 95624, United States",Elk Grove,CA,95624,https://www.facebook.com/Elk-Grove-Travel-182138031832264/,,
Bravo Travel（萬象旅游）,,4.8,.543214.816,18585736999,http://www.bravotravelsd.com/,bravotravel@sbcglobal.net,"7330 Clairemont Mesa Blvd A104, San Diego, CA 92111, United States",San Diego,CA,92111,,,
Anderson Travel,,5,,17603468017,http://www.travelanderson.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"74900 CA-111 Suite 127, Indian Wells, CA 92210, United States",Indian Wells,CA,92210,,,
Adriatic Travel & Tours,,4.7,.543214.7146,13105481446,http://www.adriatictours.com/,info@adriatictours.com,"777 W 9th St, San Pedro, CA 90731, United States",San Pedro,CA,90731,https://www.facebook.com/AdriaticTravelInc,https://www.instagram.com/adriatictours/,
USA Travel,,4.7,.543214.79,18005063415,http://businessserviceinusa.site/,,"5380 Whittier Blvd #5, Los Angeles, CA 90022, United States",Los Angeles,CA,90022,,,
OK Travel & Tours,,4.5,.543214.523,18188957747,,,"14443 Roscoe Blvd, Panorama City, CA 91402, United States",Panorama City,CA,91402,,,
Travel Best LLC,,4.4,.543214.412,16194773107,http://www.travelbestsandiego.com/,admin@travelbestsandiego.com,"914 E 8th St #203, National City, CA 91950, United States",National City,CA,91950,https://www.facebook.com/travelbestsandiego/,,
El Dorado Travel Agency,,4.5,.543214.512,14158240546,,,"3311 Mission St, San Francisco, CA 94110, United States",San Francisco,CA,94110,,,
American Travel Bureau,,4.6,.543214.623,Send to phone,,,"2330 Mall Loop Rd #119, Lancaster, CA 93536, United States",Lancaster,CA,93536,,,
California Travel Services,,5,.543215.01,13235824406,,,"3217 E Florence Ave Cc098, Huntington Park, CA 90255, United States",Huntington Park,CA,90255,,,
Riviera Village Travel,,4.5,.543214.526,13103788467,https://www.rivieravillagetravel.com/,guest@rvtrvl.com,"3868 W Carson St, Torrance, CA 90503, United States",Torrance,CA,90503,https://www.facebook.com/rivieravillagetravel?ref=aymt_homepage_panel,https://instagram.com/rivieravillagetravel/,
USA Travel,,4.3,,14157936909,https://www.usa-travel.us/,info@usa-travel.us,"16151 Loretta Ln, Los Gatos, CA 95032, United States",Los Gatos,CA,95032,https://www.facebook.com/usa.travel.tours.business,,
ELIAS Travel,,4.7,.543214.767,14152396067,https://www.facebook.com/p/Elias-Travel-SF-100063963972524/,,"80 Schwerin St, San Francisco, CA 94134, United States",San Francisco,CA,94134,https://www.facebook.com/p/Elias-Travel-SF-100063963972524/#before-content,,
Cyrus Travel,,4.4,22,,,,,,,,,,
Great Escape Travel,,4.4,.543214.418,15303456126,http://www.carlsontravel.net/,,"973 East Ave, Chico, CA 95926, United States",Chico,CA,95926,,,
Let's Fly Cheaper - LFC Travel,,4.9,.543214.9109,18002400461,http://www.letsflycheaper.com/,info@letsflycheaper.com,"6377 Clark Ave Suite 270, Dublin, CA 94568, United States",Dublin,CA,94568,https://www.facebook.com/pages/Lets-Fly-Cheaper/482359160226,https://www.instagram.com/letsflycheaper/,
Carmel Monterey Travel,,4.8,.543214.84,18316494292,http://www.carmelmontereytravel.com/,user@domain.com,"2511 Garden Rd b200, Monterey, CA 93940, United States",Monterey,CA,93940,https://www.facebook.com/squarespace/,http://instagram.com/squarespace,
Kern Travel,,4.3,.543214.310,15628659516,http://www.kerntravel.com/,,"5201 California Ave Ste 260, Bakersfield, CA 93309, United States",Bakersfield,CA,93309,,,
TurAmerica,,4.7,,15598918292,http://www.travelagencyselma.com/,your@email.com,"2415 S McCall Ave, Selma, CA 93662, United States",Selma,CA,93662,,,
DE ALBA TRAVEL,,4.8,,15594980608,https://www.dealbatravel.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"1010 Fulton St, Fresno, CA 93721, United States",Fresno,CA,93721,https://www.facebook.com/profile.php?id=100057052037021,https://www.instagram.com/dealbatravel/,
Sunny Hills Travel,,5,.543215.04,17148798540,http://www.sunnyhillstravel.com/,,"122 N Harbor Blvd Suite 107, Fullerton, CA 92832, United States",Fullerton,CA,92832,https://www.facebook.com/people/Sunny-Hills-Travel/100049262366949/,,
TravelStore Fresno previously Travel Shoppe,,4.6,,15594475767,https://www.travelstore.com/vacation/locations-leisure/fresno/,info@travelstore.com,"7112 N Fresno St #310, Fresno, CA 93720, United States",Fresno,CA,93720,https://www.facebook.com/travelstoreinc,https://www.instagram.com/travelstore/,https://www.linkedin.com/company/travelstore
Sidon Travel,,4.1,,18008267960,http://www.sidontravel.com/,user@domain.com,"428 S Central Ave, Glendale, CA 91204, United States",Glendale,CA,91204,http://www.facebook.com/sidontravel.,https://www.instagram.com/sidonla,
Santa Barbara Travel,,3.8,,18059663116,https://www.sbtravel.com/?utm_source=google&utm_medium=local,davidd@sbtravel.com,"1028 State St, Santa Barbara, CA 93101, United States",Santa Barbara,CA,93101,https://www.facebook.com/sbtravel/?ref=aymt_homepage_panel,https://www.instagram.com/sbtravelbureau/,https://www.linkedin.com/company/santa-barbara-travel-bureau/
Inspiration Travel,,4.7,,18002471899,https://www.inspirationtravel.com/,,"4384 E Ashlan Ave Ste 101, Fresno, CA 93726, United States",Fresno,CA,93726,https://www.facebook.com/inspirationcruises/,https://www.instagram.com/inspirationcruises/,
Olympic Travel Agency,,4.7,,12133897000,,,"2666 W Olympic Blvd # A, Los Angeles, CA 90006, United States",Los Angeles,CA,90006,,,
Hollywood Los Angeles Travel Agency,,3.7,.543213.712,Send to phone,https://tantulika12.wixsite.com/travel/20,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"2437 N Broadway, Los Angeles, CA 90031, United States",Los Angeles,CA,90031,,,
Fei Yang Travel,,4.3,,16265512268,http://www.feiyangtravel.com/,sales@feiyangtravel.com,"322 W Valley Blvd, Alhambra, CA 91803, United States",Alhambra,CA,91803,https://www.facebook.com/FeiYangTravel/,https://www.instagram.com/feiyang.travel/,https://www.linkedin.com/company/fei-yang-travel/
Linda Your Travelmaker,,4.1,,15594380959,http://www.yourtravelmaker.com/,linda@yourtravelmaker.com,"5612 N Fresno St Ste 101, Fresno, CA 93710, United States",Fresno,CA,93710,,,
AMT Travel,,4.9,.543214.916,18009992599,http://amttravel.com/,andrea@amttravel.com,"340 S Glendora Ave, West Covina, CA 91790, United States",West Covina,CA,91790,,,
San Lorenzo Travel Agency,,3.4,,18669020437,,,"15920 Hesperian Blvd, San Lorenzo, CA 94580, United States",San Lorenzo,CA,94580,,,
Lucky Travel,,4.2,,19164203566,,,"6540 Stockton Blvd Ste 1B, Sacramento, CA 95823, United States",Sacramento,CA,95823,,,
Traveling Traveler,,5,.543215.07,15629077938,http://www.travelingtraveler.com/,,"Whittier, CA 90603, United States",CA 90603,CA,90603,,,
Elite 5 Star Travel,,4.4,,16265001218,https://elite5startravel.com/,,"525 W Valley Blvd Suite C, Alhambra, CA 91803, United States",Alhambra,CA,91803,,,
Santa Paula Travel Service,,4.8,.543214.813,Send to phone,,,"506 E Main St, Santa Paula, CA 93060, United States",Santa Paula,CA,93060,,,
Elite Global Journeys,,4.8,,15594317440,http://www.eliteglobaljourneys.com/,,"1020 E Perrin Ave #100, Fresno, CA 93720, United States",Fresno,CA,93720,https://www.facebook.com/eliteglobaljourney,https://www.instagram.com/TravelEGJ/,
Nagina Travel,,4.4,,15106567280,,,"407 Fuchsia Ln, San Ramon, CA 94582, United States",San Ramon,CA,94582,,,
Senator Travel,,5,,13237829500,http://www.senatortravel.com/,,"4840 Revlon Dr, La Cañada Flintridge, CA 91011, United States",La Cañada Flintridge,CA,91011,http://www.facebook.com/pages/Senator-Travel-Inc/211899438890107?sk=wall,,
Coastline Travel Group,,4.2,,17146211040,http://www.coastlinetravel.com/,,"12373 S Lewis St #201, Garden Grove, CA 92840, United States",Garden Grove,CA,92840,https://www.facebook.com/CoastlineTravelGroup,https://www.instagram.com/coastlinetravelgroup/,
Sunshine Travel & Cruises,,4.2,,18182858400,,,"11935 Kling St, Valley Village, CA 91607, United States",Valley Village,CA,91607,,,
KIM Travel,,4.3,,16268720988,https://a107261.wixsite.com/kimtravel,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"3030 Del Mar Ave B, Rosemead, CA 91770, United States",Rosemead,CA,91770,,,
Woodland Travel,,3.8,,15306625491,https://woodlandtravel.net/,,"101 Monte Vista Dr, Woodland, CA 95695, United States",Woodland,CA,95695,https://www.facebook.com/woodlandtravelagency/,https://www.instagram.com/woodlandtravelagency/,
CEA Travel,,4.4,,15105333700,http://www.centravel.net/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"3531 International Blvd, Oakland, CA 94601, United States",Oakland,CA,94601,,,
Alamo World Travel & Tours,,4.3,.543214.34,18008488747,https://www.alamoworld.com/,mike@alamoworld.com,"3201 Danville Blvd #255, Alamo, CA 94507, United States",Alamo,CA,94507,https://www.facebook.com/alamoworldtravel,,
Paseo Travel & Tours Inc,,4.4,,18182442184,https://www.paseotravel.us/,info@paseotravel.us,"130 N Brand Blvd Ste 400 Floor 4, Glendale, CA 91203, United States",Glendale,CA,91203,,,
ATNT Travel & Tours,,4.3,.543214.326,17148412868,https://www.atnttour.com/,,"9106 Edinger Ave, Fountain Valley, CA 92708, United States",Fountain Valley,CA,92708,,,
California Travel Services,,5,,15629482012,,,"9087 Telegraph Rd, Pico Rivera, CA 90660, United States",Pico Rivera,CA,90660,,,
Berkeley's Northside Travel,,4.5,,15108431000,http://www.berkeley4travel.com/,bestbuys@berkeley4travel.com.gif,"1824 Euclid Ave, Berkeley, CA 94709, United States",Berkeley,CA,94709,,,
Four Seasons Travel,,4.4,,15306741314,,,"1510 Poole Blvd STE 102, Yuba City, CA 95993, United States",Yuba City,CA,95993,,,
Tur America Travel,,4.1,.543214.140,15596883333,http://www.centravel.net/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"1545 Hillman St, Tulare, CA 93274, United States",Tulare,CA,93274,,,
Good Times Travel,,4.6,,17148481255,https://www.goodtimestravel.com/,,"17132 Magnolia St, Fountain Valley, CA 92708, United States",Fountain Valley,CA,92708,,,
Viajes California,,4.3,34,,,,,,,,,,
"Japan Deluxe Tours, Inc.",,4.9,.543214.9117,18002852726,https://japandeluxetours.com/group/tour/anime-japan-tour-6-days-a/2671,,"1820 W Carson St #224, Torrance, CA 90501, United States",Torrance,CA,90501,https://www.facebook.com/japandeluxetours,https://www.instagram.com/japandeluxetours,
Misje Travel Agency & Paquetes Vacacionales &Tours,,4.7,,13235835020,https://misjetravel.com/,,"7022 Pacific Blvd, Huntington Park, CA 90255, United States",Huntington Park,CA,90255,,,
Alameda Travel,,4.6,.543214.614,13232643443,,,"2510 E Cesar E Chavez Ave, Los Angeles, CA 90033, United States",Los Angeles,CA,90033,,,
San Simeon Travel,,4.5,12,,,,,,,,,,
Buy & Fly Travel,,5,.543215.07,17145170900,,,"800 S Brookhurst St, Anaheim, CA 92804, United States",Anaheim,CA,92804,,,
Altour,,4.3,.543214.312,15594311800,https://www.altour.com/,,"6715 N Palm Ave, Fresno, CA 93704, United States",Fresno,CA,93704,,,
VALLEY TRAVEL AND TOURS SERVICES,,4.9,11,,,,,,,,,,
Hanson Travel Ideas,,5,,15597842240,http://www.hansontravel.net/,,"311 N 2nd St C, Porterville, CA 93257, United States",Porterville,CA,93257,,,
Dynasty World Travel 金龍旅遊 (Temple City),,4.8,.543214.816,16262880098,http://www.dynastyworldtravel.com/,info@dynastyworldtravel.com,"9127 E Las Tunas Dr, Temple City, CA 91780, United States",Temple City,CA,91780,,,
San Leandro Travel Agency,,4.6,,18669020437,,,"1940 Washington Ave, San Leandro, CA 94577, United States",San Leandro,CA,94577,,,
El Dorado Hills Travel,,4.8,.543214.84,19169330476,https://www.vikingrivercruises.com/myagent/explorewithyvette,,"3941 Park Dr #90, El Dorado Hills, CA 95762, United States",El Dorado Hills,CA,95762,https://www.facebook.com/VikingCruises,https://www.instagram.com/vikingcruises,
Viva Travel & Tours,,4.8,.543214.827,17148983999,,,"9039 Bolsa Ave #217, Westminster, CA 92683, United States",Westminster,CA,92683,,,
Camarillo Travel,,5,,18054842863,http://camarillotravel.com/,,"2310 E Ponderosa Dr #3, Camarillo, CA 93010, United States",Camarillo,CA,93010,,,
"L & B Travel, LLC",,5,,18186163511,http://www.landbtravel.com/,,,,,,,,
